"CommonName","Scientific.name","Category","BOCC.category","Schedule1","Annex2","group","protection"
"twite","Linaria flavirostris","AF","Red",0,NA,"bird","RedBOCC"
"linnet","Linaria cannabina","AF","Red",0,NA,"bird","RedBOCC"
"common redpoll","Acanthis flammea","AF",NA,0,NA,"bird","None"
"lesser redpoll","Acanthis cabaret","A","Red",0,NA,"bird","RedBOCC"
"arctic redpoll","Acanthis hornemanni","A",NA,0,NA,"bird","None"
"parrot crossbill","Loxia pytyopsittacus","A","Amber",1,NA,"bird","Schedule1"
"scottish crossbill","Loxia scotica","A","Amber",1,NA,"bird","Schedule1"
"crossbill","Loxia curvirostra","AF",NA,1,NA,"bird","Schedule1"
"two-barred crossbill","Loxia leucoptera","A",NA,1,NA,"bird","Schedule1"
"goldfinch","Carduelis carduelis","AF",NA,0,NA,"bird","None"
"citril finch","Carduelis citrinella","A",NA,0,NA,"bird","None"
"serin","Serinus serinus","AF",NA,1,NA,"bird","Schedule1"
"siskin","Spinus spinus","A",NA,0,NA,"bird","None"
"lapland bunting","Calcarius lapponicus","AF","Amber",1,NA,"bird","Schedule1"
"snow bunting","Plectrophenax nivalis","AF","Amber",1,NA,"bird","Schedule1"
"corn bunting","Emberiza calandra","AF","Red",0,NA,"bird","RedBOCC"
"yellowhammer","Emberiza citrinella","AF","Red",0,NA,"bird","RedBOCC"
"pine bunting","Emberiza leucocephalos","A",NA,0,NA,"bird","None"
"rock bunting","Emberiza cia","A",NA,0,NA,"bird","None"
"ortolan bunting","Emberiza hortulana","AE",NA,0,NA,"bird","None"
"cretzschmar's bunting","Emberiza caesia","A",NA,0,NA,"bird","None"
"cirl bunting","Emberiza cirlus","A","Red",1,NA,"bird","Schedule1"
"chestnut-eared bunting","Emberiza fucata","A",NA,0,NA,"bird","None"
"little bunting","Emberiza pusilla","A",NA,0,NA,"bird","None"
"yellow-browed bunting","Emberiza chrysophrys","A",NA,0,NA,"bird","None"
"rustic bunting","Emberiza rustica","A",NA,0,NA,"bird","None"
"yellow-breasted bunting","Emberiza aureola","AE",NA,0,NA,"bird","None"
"chestnut bunting","Emberiza rutila","A",NA,0,NA,"bird","None"
"black-headed bunting","Emberiza melanocephala","AE",NA,0,NA,"bird","None"
"black-faced bunting","Emberiza spodocephala","AE",NA,0,NA,"bird","None"
"pallas's reed bunting","Emberiza pallasi","A",NA,0,NA,"bird","None"
"reed bunting","Emberiza schoeniclus","AF","Amber",0,NA,"bird","AmberBOCC"
"lark sparrow","Chondestes grammacus","A",NA,0,NA,"bird","None"
"dark-eyed junco","Junco hyemalis","AE",NA,0,NA,"bird","None"
"white-crowned sparrow","Zonotrichia leucophrys","AE",NA,0,NA,"bird","None"
"white-throated sparrow","Zonotrichia albicollis","AE",NA,0,NA,"bird","None"
"savannah sparrow","Passerculus sandwichensis","A",NA,0,NA,"bird","None"
"song sparrow","Melospiza melodia","AE",NA,0,NA,"bird","None"
"eastern towhee","Pipilo erythrophthalmus","A",NA,0,NA,"bird","None"
"bobolink","Dolichonyx oryzivorus","A",NA,0,NA,"bird","None"
"baltimore oriole","Icterus galbula","AE",NA,0,NA,"bird","None"
"red-winged blackbird","Agelaius phoeniceus","A",NA,0,NA,"bird","None"
"brown-headed cowbird","Molothrus ater","A",NA,0,NA,"bird","None"
"ovenbird","Seiurus aurocapilla","A",NA,0,NA,"bird","None"
"northern waterthrush","Parkesia noveboracensis","A",NA,0,NA,"bird","None"
"golden-winged warbler","Vermivora chrysoptera","A",NA,0,NA,"bird","None"
"black-and-white warbler","Mniotilta varia","A",NA,0,NA,"bird","None"
